account_id,invoice_id,invoice_created_time,invoice_sent_time,amount,currency
607cd637-6b7e-4ef6-afcd-cb0b46c52ab0,5b7f5747-2669-4c6e-b5ba-6da1de7552e3,2024-11-13 05:18:41,2024-11-14 02:18:41,7632,CAD
607cd637-6b7e-4ef6-afcd-cb0b46c52ab0,492715ad-3367-4ca9-92dc-e8dc18d2fb6a,2024-12-12 05:18:41,2024-12-13 08:18:41,8566,CAD
607cd637-6b7e-4ef6-afcd-cb0b46c52ab0,e57b06d3-f384-4257-b718-c2a78a6620ab,2025-01-11 05:18:41,2025-01-12 20:18:41,4836,CAD
607cd637-6b7e-4ef6-afcd-cb0b46c52ab0,eeea0d29-53f3-4755-ae8c-ba47cfc05532,2025-01-17 05:18:41,2025-01-17 15:18:41,9202,CAD
607cd637-6b7e-4ef6-afcd-cb0b46c52ab0,ec657d94-5f04-4764-88e3-90dd3fb14ea9,2025-02-10 05:18:41,2025-02-11 12:18:41,2277,CAD
5a7439c5-62be-4c2e-965d-2277748f9319,bc63d642-6b18-4cda-bdea-00d5b5a4ec6f,2024-07-02 19:48:23,2024-07-03 01:48:23,2234,CAD
5a7439c5-62be-4c2e-965d-2277748f9319,55eb7bdc-e748-46ab-ad62-f814a02b6d74,2024-07-15 19:48:23,2024-07-16 19:48:23,3497,CAD
52493410-8ed1-443c-a87d-e5de07ddb622,41d045d4-f7a5-4c8a-85d5-193557b86abd,2025-01-30 04:21:13,2025-02-01 00:21:13,4102,CAD
52493410-8ed1-443c-a87d-e5de07ddb622,abd7bf1b-4f22-459c-a425-d402e37c9080,2025-02-06 04:21:13,2025-02-07 23:21:13,7989,CAD
d085ba68-f655-4dc2-b0d6-52168f5fb4cb,571ade7f-3909-4eb3-8886-98931c495b37,2024-12-09 19:53:31,2024-12-11 04:53:31,964,AUD
d085ba68-f655-4dc2-b0d6-52168f5fb4cb,01737c30-f439-4ed6-80b0-6c6e817e799f,2024-12-21 19:53:31,2024-12-22 03:53:31,1116,AUD
d085ba68-f655-4dc2-b0d6-52168f5fb4cb,1cf7358d-9182-4da1-a736-b3db8a53e89f,2025-01-08 19:53:31,2025-01-08 22:53:31,9664,AUD
3784c74a-4169-433b-955b-1a31bedd0dec,c64e58d3-5460-458b-9069-3cf93aca64bc,2024-11-22 16:46:30,2024-11-23 19:46:30,9780,USD
3784c74a-4169-433b-955b-1a31bedd0dec,872134a9-07f9-4901-823f-6d8d6cf85ff4,2024-12-13 16:46:30,2024-12-14 00:46:30,7306,USD
97320da9-a98c-4bf0-80bc-8d9effdf52e3,9adfa542-36eb-428c-a03e-5ce57558265d,2024-10-05 11:34:37,2024-10-05 20:34:37,8846,GBP
97320da9-a98c-4bf0-80bc-8d9effdf52e3,a5349b86-99c8-4438-88e9-a690e47417e2,2024-10-07 11:34:37,2024-10-08 17:34:37,7021,GBP
97320da9-a98c-4bf0-80bc-8d9effdf52e3,ff9af434-dfe0-4df6-a51f-43db981082cd,2024-10-19 11:34:37,2024-10-20 11:34:37,9132,GBP
97320da9-a98c-4bf0-80bc-8d9effdf52e3,4126ee23-0ebb-488a-aedf-fb5a1a6c99f0,2024-11-18 11:34:37,2024-11-19 14:34:37,6905,GBP
97320da9-a98c-4bf0-80bc-8d9effdf52e3,104b3dd6-40ad-4481-8502-ee43a42b962b,2024-12-15 11:34:37,2024-12-16 06:34:37,1413,GBP
281bda77-b6aa-49d3-8cdc-5452ffce3e61,7aee3d36-bfda-48a9-b714-08ccc8bdaef9,2024-12-11 00:11:53,2024-12-12 08:11:53,624,USD
281bda77-b6aa-49d3-8cdc-5452ffce3e61,e5667d85-0cc1-4f39-9463-3a7a611b20d6,2025-01-07 00:11:53,2025-01-07 18:11:53,6664,USD
281bda77-b6aa-49d3-8cdc-5452ffce3e61,03380cb8-4b7a-483d-baa6-71a125751b71,2025-02-06 00:11:53,2025-02-07 15:11:53,5746,USD
281bda77-b6aa-49d3-8cdc-5452ffce3e61,5aaf7b03-f8ac-41dd-96f2-a8391382636e,2025-02-07 00:11:53,2025-02-07 21:11:53,6431,USD
3a2465a5-efe1-477b-a321-d9f1db74d2cf,b86970e9-615c-4ac8-8e77-2a4f9aa410dc,2025-01-02 22:06:11,2025-01-03 10:06:11,4018,GBP
3a2465a5-efe1-477b-a321-d9f1db74d2cf,16410a15-018a-4c78-8619-87c28c7ba3df,2025-01-21 22:06:11,2025-01-22 15:06:11,7943,GBP
3a2465a5-efe1-477b-a321-d9f1db74d2cf,62568261-7bad-4932-8c4a-79bed10d697f,2025-01-23 22:06:11,2025-01-25 19:06:11,1063,GBP
3a2465a5-efe1-477b-a321-d9f1db74d2cf,5eb8939d-f2d8-49d8-ac54-33f14384b0fe,2025-02-19 22:06:11,2025-02-20 07:06:11,9071,GBP
3a2465a5-efe1-477b-a321-d9f1db74d2cf,faec4e7d-ea7c-4984-861b-688acfde08d3,2025-02-27 22:06:11,2025-02-28 03:06:11,6925,GBP
32b75f97-34ca-41b6-abb7-37fd8b6cc2e1,e15c2ae3-11b6-4795-8567-b1d50081825a,2024-10-13 11:51:19,2024-10-13 15:51:19,5241,USD
995011a6-0f3a-49b3-a511-296a19e86f9f,1c5a971f-1681-42d3-931c-54a6d0140ce9,2025-01-04 13:54:50,2025-01-05 06:54:50,418,GBP
995011a6-0f3a-49b3-a511-296a19e86f9f,3c80c32e-4dbe-41dc-b694-3827b4f1f745,2025-01-25 13:54:50,2025-01-25 17:54:50,6376,GBP
995011a6-0f3a-49b3-a511-296a19e86f9f,d8e62c20-a314-42e6-8ed7-dc209b22e3bf,2025-02-16 13:54:50,2025-02-16 20:54:50,7977,GBP
995011a6-0f3a-49b3-a511-296a19e86f9f,09ed6c1d-43e2-424e-8b74-640a3a1bcb09,2025-03-03 13:54:50,2025-03-05 01:54:50,3749,GBP
a30c9d71-5482-4be4-8d00-d293ecaf6431,44bbf4e4-54cb-4089-9251-30142639d4f8,2024-05-05 10:03:48,2024-05-05 12:03:48,5818,AUD
a30c9d71-5482-4be4-8d00-d293ecaf6431,6871c227-d086-410b-9b47-7184e2ac4215,2024-05-28 10:03:48,2024-05-29 16:03:48,197,AUD
0229253a-642f-433e-8c0b-f67fb905b165,8e4fd390-903c-40ac-b1f6-7a970a3a69ea,2024-06-22 09:20:19,2024-06-23 20:20:19,7497,CAD
