account_id,invoice_id,transaction_id,transaction_time,payment_method,amount,currency
607cd637-6b7e-4ef6-afcd-cb0b46c52ab0,5b7f5747-2669-4c6e-b5ba-6da1de7552e3,ee78f6b5-01ed-4e53-afea-c3027fc410d7,2024-11-16 17:18:41,Cheque,7632,CAD
607cd637-6b7e-4ef6-afcd-cb0b46c52ab0,492715ad-3367-4ca9-92dc-e8dc18d2fb6a,88bc7a75-bd68-48f6-9fb1-e3d3d89c92b9,2024-12-14 08:18:41,Credit Card,8566,CAD
607cd637-6b7e-4ef6-afcd-cb0b46c52ab0,e57b06d3-f384-4257-b718-c2a78a6620ab,b14e740e-986a-4b04-aa59-c6c76f2cc524,2025-01-15 11:18:41,Cheque,4836,CAD
607cd637-6b7e-4ef6-afcd-cb0b46c52ab0,eeea0d29-53f3-4755-ae8c-ba47cfc05532,d889d5ed-619b-4ff1-96a0-bd84b25dc03b,2025-01-18 06:18:41,Cheque,9202,CAD
607cd637-6b7e-4ef6-afcd-cb0b46c52ab0,ec657d94-5f04-4764-88e3-90dd3fb14ea9,bc16b496-621f-4c4c-885c-dd784731c89d,2025-02-14 09:18:41,Cash,2277,CAD
5a7439c5-62be-4c2e-965d-2277748f9319,bc63d642-6b18-4cda-bdea-00d5b5a4ec6f,5f5050a8-9dbb-4f6a-8d7f-e5fd55545e9c,2024-07-04 08:48:23,Credit Card,2234,CAD
5a7439c5-62be-4c2e-965d-2277748f9319,55eb7bdc-e748-46ab-ad62-f814a02b6d74,478a8c5d-7d19-48f8-a9b6-0d71227526be,2024-07-17 21:48:23,Cash,3497,CAD
52493410-8ed1-443c-a87d-e5de07ddb622,41d045d4-f7a5-4c8a-85d5-193557b86abd,44f821ec-1990-4c81-9ea4-db2a9f9dde2c,2025-02-03 16:21:13,ACH,4102,CAD
52493410-8ed1-443c-a87d-e5de07ddb622,abd7bf1b-4f22-459c-a425-d402e37c9080,0d8e2ae5-5a7c-43e9-831f-bcf46716746c,2025-02-08 12:21:13,Credit Card,7989,CAD
d085ba68-f655-4dc2-b0d6-52168f5fb4cb,571ade7f-3909-4eb3-8886-98931c495b37,a2b44fa4-1960-4de2-975f-ed1f6a1b026b,2024-12-12 04:53:31,ACH,964,AUD
d085ba68-f655-4dc2-b0d6-52168f5fb4cb,1cf7358d-9182-4da1-a736-b3db8a53e89f,b95d8041-bc88-412c-ba1d-12799c94612e,2025-01-11 01:53:31,ACH,9664,AUD
3784c74a-4169-433b-955b-1a31bedd0dec,c64e58d3-5460-458b-9069-3cf93aca64bc,d2193d49-c418-4c63-9814-d14da35e375d,2024-11-25 02:46:30,Credit Card,9780,USD
97320da9-a98c-4bf0-80bc-8d9effdf52e3,9adfa542-36eb-428c-a03e-5ce57558265d,597d4007-2fe3-4cf2-939e-867b89f10094,2024-10-06 15:34:37,Credit Card,8846,GBP
97320da9-a98c-4bf0-80bc-8d9effdf52e3,ff9af434-dfe0-4df6-a51f-43db981082cd,717b2f1d-9e8a-4f1c-9c24-7f3005393f12,2024-10-22 10:34:37,ACH,9132,GBP
97320da9-a98c-4bf0-80bc-8d9effdf52e3,4126ee23-0ebb-488a-aedf-fb5a1a6c99f0,489fc24a-1811-4ef0-be53-7399586c3169,2024-11-19 23:34:37,Paypal,6905,GBP
97320da9-a98c-4bf0-80bc-8d9effdf52e3,104b3dd6-40ad-4481-8502-ee43a42b962b,598d031d-7efc-4c05-9726-751f80ad5117,2024-12-17 23:34:37,Paypal,1413,GBP
281bda77-b6aa-49d3-8cdc-5452ffce3e61,7aee3d36-bfda-48a9-b714-08ccc8bdaef9,06f24824-f7f1-4c58-8a15-d1e1d1ef3f15,2024-12-13 00:11:53,ACH,624,USD
281bda77-b6aa-49d3-8cdc-5452ffce3e61,e5667d85-0cc1-4f39-9463-3a7a611b20d6,15284f6e-68b3-4d3f-8e65-162422aec69f,2025-01-08 20:11:53,Cheque,6664,USD
