account_id,event_time,lifecycle_state
607cd637-6b7e-4ef6-afcd-cb0b46c52ab0,2024-10-20 05:18:41,trial
607cd637-6b7e-4ef6-afcd-cb0b46c52ab0,2024-11-14 05:18:41,subscribed
5a7439c5-62be-4c2e-965d-2277748f9319,2024-06-01 19:48:23,trial
5a7439c5-62be-4c2e-965d-2277748f9319,2024-08-19 19:48:23,subscribed
52493410-8ed1-443c-a87d-e5de07ddb622,2024-12-22 04:21:13,trial
d085ba68-f655-4dc2-b0d6-52168f5fb4cb,2024-11-09 19:53:31,trial
d085ba68-f655-4dc2-b0d6-52168f5fb4cb,2025-01-23 19:53:31,subscribed
d085ba68-f655-4dc2-b0d6-52168f5fb4cb,2025-05-05 19:53:31,churned
3784c74a-4169-433b-955b-1a31bedd0dec,2024-09-29 16:46:30,trial
3784c74a-4169-433b-955b-1a31bedd0dec,2024-11-09 16:46:30,subscribed
3784c74a-4169-433b-955b-1a31bedd0dec,2025-01-24 16:46:30,churned
97320da9-a98c-4bf0-80bc-8d9effdf52e3,2024-08-25 11:34:37,trial
97320da9-a98c-4bf0-80bc-8d9effdf52e3,2024-11-08 11:34:37,subscribed
97320da9-a98c-4bf0-80bc-8d9effdf52e3,2024-12-10 11:34:37,churned
281bda77-b6aa-49d3-8cdc-5452ffce3e61,2024-10-07 00:11:53,trial
281bda77-b6aa-49d3-8cdc-5452ffce3e61,2024-10-30 00:11:53,subscribed
3a2465a5-efe1-477b-a321-d9f1db74d2cf,2024-12-14 22:06:11,trial
3a2465a5-efe1-477b-a321-d9f1db74d2cf,2025-01-08 22:06:11,subscribed
3a2465a5-efe1-477b-a321-d9f1db74d2cf,2025-05-26 22:06:11,churned
32b75f97-34ca-41b6-abb7-37fd8b6cc2e1,2024-09-01 11:51:19,trial
32b75f97-34ca-41b6-abb7-37fd8b6cc2e1,2024-10-24 11:51:19,subscribed
32b75f97-34ca-41b6-abb7-37fd8b6cc2e1,2025-01-12 11:51:19,churned
995011a6-0f3a-49b3-a511-296a19e86f9f,2024-11-18 13:54:50,trial
995011a6-0f3a-49b3-a511-296a19e86f9f,2024-12-18 13:54:50,subscribed
995011a6-0f3a-49b3-a511-296a19e86f9f,2025-04-11 13:54:50,churned
a30c9d71-5482-4be4-8d00-d293ecaf6431,2024-03-19 10:03:48,trial
a30c9d71-5482-4be4-8d00-d293ecaf6431,2024-04-09 10:03:48,subscribed
a30c9d71-5482-4be4-8d00-d293ecaf6431,2024-07-04 10:03:48,churned
0229253a-642f-433e-8c0b-f67fb905b165,2024-06-01 09:20:19,trial
